JLCPCB BOM Tool - BOM Matching,,,,,,,,,,,,,,,,,
BOM name：bom-JLCPCB Assembly Order.xlsx,,,Download Time：2026-06-09 15:07:55,,,,"* Our matching results are updated in real-time, but stock and prices may change. 
If it's been over 24 hours, please re-match before placing your order.",,,,,,,,,,
PCB Assembled Qty：5,,,Est. Total Price：46.1511,,,,,,,,,,,,,,
Your BOM,,,,,Matched Parts,,,,,,,Order Information,,,,,
Top Designator,Bottom Designator,Comment,Footprint,JLCPCB Part #,Matches,Part # ,Manufacturer,Footprint,Description,Category,Warning,JLCPCB Part #,Product link,Lib Type,Qty,Source,Total Price ($)
"C1,C10,C19,C20,C5",,100nF,0805,,Select by System,CC0805KRX7R9BB104,YAGEO,0805,100nF 50V X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C49678,https://jlcpcb.com/partdetail/YAGEO-CC0805KRX7R9BB104/C49678,Basic,35,35 JLCPCB,0.2975
C2,,47uF,1210,,Select by System,CS3225X7R476K100NRL,Samwha Capacitor,1210,10V 47uF X7R ±10% 1210 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C5189825,https://jlcpcb.com/partdetail/5869646-CS3225X7R476K100NRL/C5189825,Extended,9,9 JLCPCB,0.8595
"C3,C7",,10uF,0805,,Select by System,GRM21BR61H106KE43L,Murata Electronics,0805,10uF 50V X5R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C440198,https://jlcpcb.com/partdetail/439567-GRM21BR61H106KE43L/C440198,Basic,10,10 JLCPCB,3.083
"C8,C9",,1nF,0805,,Select by System,CL21B102KBCNNNC,Samsung Electro-Mechanics,0805,1nF 50V X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C46653,https://jlcpcb.com/partdetail/47657-CL21B102KBCNNNC/C46653,Basic,20,20 JLCPCB,0.224
"C21,C4,C6",,1uF,0805,,Select by System,CL21B105KBFNNNE,Samsung Electro-Mechanics,0805,1uF 50V X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C28323,https://jlcpcb.com/partdetail/29074-CL21B105KBFNNNE/C28323,Basic,25,25 JLCPCB,0.4325
D1,,GREENLED,LED_D5.0mm,,Select by Customer,TJ-L5FYTGHKMCGLFLC7K-A5,TOGIALED,"插件,D=5mm","-20℃~+80℃ 1.8V~2.6V 20mA 45° 565nm~575nm 575nm 5mm round lamp head 60mcd 72mW Green Diffused Lens Yellow Green 插件,D=5mm LED Indication - Discrete ROHS",LED Indication - Discrete,,C330740,https://jlcpcb.com/partdetail/TOGIALED-TJ_L5FYTGHKMCGLFLC7KA5/C330740,Extended,6,6 JLCPCB,0.2502
D2,,REDLED,LED_D5.0mm,,Select by Customer,333-2SURD/S530-A3,Everlight Elec,"插件,D=5mm","-40℃~+85℃ 200mcd 20mA 2V 30° 5mm round lamp head 624nm 632nm Red Red Lens 插件,D=5mm LED Indication - Discrete ROHS",LED Indication - Discrete,,C87271,https://jlcpcb.com/partdetail/EverlightElec-333_2SURD_S530A3/C87271,Extended,10,10 JLCPCB,0.417
"R1,R10,R9",,10K,0805,,Unconfirmed,0805W8F1002T5E,UNI-ROYAL(Uniroyal Elec),0805,-55℃~+155℃ 10kΩ 125mW 150V Thick Film Resistor ±1% ±100ppm/℃ 0805 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (0805W8F1002T5E) of this part does not match the one (10K) provided in your BOM. Please confirm;,C17414,https://jlcpcb.com/partdetail/18102-0805W8F1002T5E/C17414,Basic,25,25 JLCPCB,0.0725
"R2,R3",,330,0805,,Unconfirmed,0805W8F3300T5E,UNI-ROYAL(Uniroyal Elec),0805,-55℃~+155℃ 125mW 150V 330Ω Thick Film Resistor ±1% ±100ppm/℃ 0805 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (0805W8F3300T5E) of this part does not match the one (330) provided in your BOM. Please confirm;,C17630,https://jlcpcb.com/partdetail/18318-0805W8F3300T5E/C17630,Basic,20,20 JLCPCB,0.054
"R11,R12",,22,0805,,Unconfirmed,0805W8F220JT5E,UNI-ROYAL(Uniroyal Elec),0805,-55℃~+155℃ 125mW 150V 22Ω Thick Film Resistor ±1% ±100ppm/℃ 0805 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (0805W8F220JT5E) of this part does not match the one (22) provided in your BOM. Please confirm;,C17561,https://jlcpcb.com/partdetail/18249-0805W8F220JT5E/C17561,Basic,20,20 JLCPCB,0.054
"R13,R14",,5.1K,0805,,Unconfirmed,0805W8F5101T5E,UNI-ROYAL(Uniroyal Elec),0805,-55℃~+155℃ 125mW 150V 5.1kΩ Thick Film Resistor ±1% ±100ppm/℃ 0805 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (0805W8F5101T5E) of this part does not match the one (5.1K) provided in your BOM. Please confirm;,C27834,https://jlcpcb.com/partdetail/28584-0805W8F5101T5E/C27834,Basic,20,20 JLCPCB,0.054
"R15,R16",,4.7K,0805,,Unconfirmed,0805W8F4701T5E,UNI-ROYAL(Uniroyal Elec),0805,-55℃~+155℃ 125mW 150V 4.7kΩ Thick Film Resistor ±1% ±100ppm/℃ 0805 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (0805W8F4701T5E) of this part does not match the one (4.7K) provided in your BOM. Please confirm;,C17673,https://jlcpcb.com/partdetail/18361-0805W8F4701T5E/C17673,Basic,20,20 JLCPCB,0.044
"SW1,SW2",,SW_Push,SW_PUSH_6mm,,Select by Customer,TC-00104-050E,HOOYA,"插件,6x6mm","2.5N 5mm 6mm 6mm Black No PC Pin Round Button SPST Through Hole Without Bracket Plugin,6x6mm Tactile Switches ROHS",Tactile Switches,,C2939600,https://jlcpcb.com/partdetail/HOOYA-TC_00104050E/C2939600,Extended,10,10 JLCPCB,0.229
SW3,,RotaryEncoder_Switch_MP,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,,Select by Customer,EC11E1834403,ALPSALPINE,插件,-40℃~+85℃ 10mA 5V Non-resettable Straight Support Two-phase output 插件 Rotary Encoders ROHS,Rotary Encoders,,C361165,https://jlcpcb.com/partdetail/ALPSALPINE-EC11E1834403/C361165,Extended,5,5 JLCPCB,10.1695
SW6,,SS-12D00-G4E,1P2T_SS-12D00_CNK,,Select by Customer,SS-12D00-G3,SOFNG,"插件-3P,8.8x3.9mm","-35℃~+75℃ 3.9mm 7.2mm 8.8mm Black PC Pin Rectangular Columnar SPDT Through Hole 插件-3P,8.8x3.9mm Slide Switches ROHS",Slide Switches,,C22355741,https://jlcpcb.com/partdetail/SOFNG-SS_12D00G3/C22355741,Extended,6,6 JLCPCB,0.351
U2,,XDAP-4042044-20401,CONN-SMD_204P-P0.60_XDAP-4042044-20401,,Select by System,XDAP-4042044-20401,Lian Xin Technology,SMD,204P 5.2mm DDR3 SO-DIMM Surface Mount SMD Memory Connector (DDR) ROHS,Memory Connector (DDR),,C22471982,https://jlcpcb.com/partdetail/24195375-XDAP_404204420401/C22471982,Extended,5,5 JLCPCB,7.78
U3,,AP2112K-3.3TRG1,SOT-25-5_L2.9-W1.6-P0.95-LS2.8-BL,,Select by System,AP2112K-3.3TRG1,Diodes Incorporated,SOT-25-5,"-40℃~+85℃@(Ta) 1 250mV@(600mA) 3.3V 50uVrms 55uA 600mA 65dB@(1kHz) 6V Fixed Over Current Protection、Thermal Shutdown、Enable control Positive SOT-25-5 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS","Voltage Regulators - Linear, Low Drop Out (LDO) Regulators",,C51118,https://jlcpcb.com/partdetail/DiodesIncorporated-AP2112K_33TRG1/C51118,Extended,7,7 JLCPCB,1.1375
U4,,ESP32-C6-MINI-1/U,ESP32-C6-MINI-1,,Select by Customer,ESP32-C6-MINI-1-N4,Espressif Systems,SMD-53P,-106dBm -40℃~+85℃ 2.4GHz 21dBm 354mA 3V~3.6V 71mA ESP32-C6FH4 On-board PCB Antenna UART、SPI、I2C、GPIO、I2S SMD-53P WiFi Modules ROHS,WiFi Modules,,C5736265,https://jlcpcb.com/partdetail/EspressifSystems-ESP32_C6_MINI_1N4/C5736265,Extended,5,5 JLCPCB,20.2015
USB1,,TYPE-C16PIN2MD,USB-C-SMD_TYPE-C-16PIN-2MD-073,,Select by System,TYPE-C 16PIN 2MD(073),SHOU HAN,SMD,"-25℃~+85℃ 1 16P 3A 5,000 times 5V Black Female Surface Mount, Right Angle Type-C SMD USB Connectors ROHS",USB Connectors,,C2765186,https://jlcpcb.com/partdetail/SHOUHAN-TYPE_C_16PIN_2MD_073/C2765186,Extended,6,6 JLCPCB,0.4404
J1,,128x64LCDDisplay,PinSocket_1x04_P2.54mm_Vertical,,No matches,No Part Selected,,,,,,,,,,,
"SW4,SW5",,SW_Push,SW_Cherry_MX_1.00u_PCB,,No matches,No Part Selected,,,,,,,,,,,
